printed_page_label,candidate_clause_id,candidate_title,lexical_score,lexical_rank,vector_score,vector_rank,retrieved_by,agreement,review_state,evidence_locator,review_decision,review_notes,ir_source_file,ir_source_line,evidence_snippet,evidence_status,manual_decision,manual_reason
62,gri_201_2,Financial implications and other risks and opportunities due to climate change,,,0.004258,1,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0001.md,,,no_direct_text_match,uncertain,有风险/影响表，但尚未完成财务影响单元格级核对。
62,gri_305_1,Direct (Scope 1) GHG emissions,,,0.001855,3,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0001.md,,,no_direct_text_match,reject_candidate,本页未见对应 Scope 1/Scope 2/NOx 排放披露。
62,gri_305_2,Energy indirect (Scope 2) GHG emissions,,,0.001725,4,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0001.md,,,no_direct_text_match,reject_candidate,本页未见对应 Scope 1/Scope 2/NOx 排放披露。
62,hkex_c2_20,Climate-related risks and opportunities,,,0.003236,2,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0001.md,,,no_direct_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
62,hkex_c2_27,Risk management,,,0.001496,5,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0001.md,,,no_direct_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
63,gri_201_2,Financial implications and other risks and opportunities due to climate change,6.0,2,0.066009,1,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0002.md,1,為了更精準地量化氣候風險與機遇對公司財務的影響，越秀地產確立了若干關鍵財務指標。這些指標不僅旨在全面揭示氣候因素對公司財務狀況的深遠影響，更展示了公司在應對氣候變化、把握市場機遇方面的積極舉措與顯著成效。通過這一系列科學、系統的財務指標，越秀地產不僅為自身構建了更加穩健的財務基礎，也為行業樹立了可持續發展的典範，彰顯了企業在環境保護與經濟發展的雙重責任中的堅定承諾。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
63,gri_3_3,Management of material topics,3.0,5,0.040266,4,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0002.md,11,1.2.2 風險管理,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
63,hkex_c2_20,Climate-related risks and opportunities,6.0,3,0.059008,3,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0002.md,1,為了更精準地量化氣候風險與機遇對公司財務的影響，越秀地產確立了若干關鍵財務指標。這些指標不僅旨在全面揭示氣候因素對公司財務狀況的深遠影響，更展示了公司在應對氣候變化、把握市場機遇方面的積極舉措與顯著成效。通過這一系列科學、系統的財務指標，越秀地產不僅為自身構建了更加穩健的財務基礎，也為行業樹立了可持續發展的典範，彰顯了企業在環境保護與經濟發展的雙重責任中的堅定承諾。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
63,hkex_c2_27,Risk management,8.0,1,0.060535,2,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0002.md,11,1.2.2 風險管理,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
63,ifrs_s2_risk_management,Risk management,5.0,4,0.028371,5,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0002.md,21,"維度體現：氣候變化風險管理融入ERM。具體內容：將氣候變化風險和生物多樣性相關風險作為可持續發展的主要風險，融入越秀地產企業風險管理(Enterprise Risk Management, ERM)體系中，通過成熟的企業管理體系，對氣候變化風險開展識別、評估和治理",source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
64,gri_201_2,Financial implications and other risks and opportunities due to climate change,9.0,1,0.046128,1,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0003.md,1,氣候變化應對工作小組自上而下從戰略層面審視公司的氣候變化管理水平。該小組負責越秀地產整體氣候變化風險與機遇的戰略制定、計劃執行、指標追蹤及管理提升工作。在深入挖掘潛在的氣候變化風險的同時，探索業務細節中的氣候變化機遇，使越秀地產能夠更好地適應未來的氣候變化挑戰。通過系統的分析和評估，該小組不僅識別出可能對越秀地產產生重大影響的氣候變化因素，還制定了具體的應對措施和行動計劃，確保這些措施能夠有效實施並取得預期效果。此外，該小組還定期追蹤相關指標，評估風險管理的效果，不斷優化和提升管理水平，確保越秀地產在應對氣候變化方面始終保持領先地位。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
64,gri_305_1,Direct (Scope 1) GHG emissions,,,0.011681,4,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0003.md,,,no_direct_text_match,reject_candidate,本页未见对应 Scope 1/Scope 2/NOx 排放披露。
64,gri_3_3,Management of material topics,3.0,3,,,lexical,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0003.md,1,氣候變化應對工作小組自上而下從戰略層面審視公司的氣候變化管理水平。該小組負責越秀地產整體氣候變化風險與機遇的戰略制定、計劃執行、指標追蹤及管理提升工作。在深入挖掘潛在的氣候變化風險的同時，探索業務細節中的氣候變化機遇，使越秀地產能夠更好地適應未來的氣候變化挑戰。通過系統的分析和評估，該小組不僅識別出可能對越秀地產產生重大影響的氣候變化因素，還制定了具體的應對措施和行動計劃，確保這些措施能夠有效實施並取得預期效果。此外，該小組還定期追蹤相關指標，評估風險管理的效果，不斷優化和提升管理水平，確保越秀地產在應對氣候變化方面始終保持領先地位。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
64,hkex_c2_20,Climate-related risks and opportunities,9.0,2,0.041146,2,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0003.md,1,氣候變化應對工作小組自上而下從戰略層面審視公司的氣候變化管理水平。該小組負責越秀地產整體氣候變化風險與機遇的戰略制定、計劃執行、指標追蹤及管理提升工作。在深入挖掘潛在的氣候變化風險的同時，探索業務細節中的氣候變化機遇，使越秀地產能夠更好地適應未來的氣候變化挑戰。通過系統的分析和評估，該小組不僅識別出可能對越秀地產產生重大影響的氣候變化因素，還制定了具體的應對措施和行動計劃，確保這些措施能夠有效實施並取得預期效果。此外，該小組還定期追蹤相關指標，評估風險管理的效果，不斷優化和提升管理水平，確保越秀地產在應對氣候變化方面始終保持領先地位。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
64,hkex_c2_22,Strategy and decision-making,3.0,4,,,lexical,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0003.md,1,氣候變化應對工作小組自上而下從戰略層面審視公司的氣候變化管理水平。該小組負責越秀地產整體氣候變化風險與機遇的戰略制定、計劃執行、指標追蹤及管理提升工作。在深入挖掘潛在的氣候變化風險的同時，探索業務細節中的氣候變化機遇，使越秀地產能夠更好地適應未來的氣候變化挑戰。通過系統的分析和評估，該小組不僅識別出可能對越秀地產產生重大影響的氣候變化因素，還制定了具體的應對措施和行動計劃，確保這些措施能夠有效實施並取得預期效果。此外，該小組還定期追蹤相關指標，評估風險管理的效果，不斷優化和提升管理水平，確保越秀地產在應對氣候變化方面始終保持領先地位。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
64,hkex_c2_26,Climate resilience,3.0,5,0.016048,3,lexical+tfidf_vector,both_methods,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0003.md,7,情境分析,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
64,hkex_c2_27,Risk management,,,0.010175,5,tfidf_vector,single_method,review_required,,,,data/fixtures/yuexiu_2024_pages_62_67/canonical_markdown/page_0003.md,1,氣候變化應對工作小組自上而下從戰略層面審視公司的氣候變化管理水平。該小組負責越秀地產整體氣候變化風險與機遇的戰略制定、計劃執行、指標追蹤及管理提升工作。在深入挖掘潛在的氣候變化風險的同時，探索業務細節中的氣候變化機遇，使越秀地產能夠更好地適應未來的氣候變化挑戰。通過系統的分析和評估，該小組不僅識別出可能對越秀地產產生重大影響的氣候變化因素，還制定了具體的應對措施和行動計劃，確保這些措施能夠有效實施並取得預期效果。此外，該小組還定期追蹤相關指標，評估風險管理的效果，不斷優化和提升管理水平，確保越秀地產在應對氣候變化方面始終保持領先地位。,source_text_match,keep_candidate,主题与官方条款相关；需回到原文/表格完成最终 Evidence 审核。
