document_ir_run_id,page_id,page_index,printed_page_label,candidate_clause_id,candidate_title,score,rank,retrieval_method,candidate_source_url,candidate_source_locator,suggested_relation,review_state
gt-yuexiu-2024-p062-p067-v1,page-0001,0,62,gri_201_2,Financial implications and other risks and opportunities due to climate change,0.004258,1,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0001,0,62,hkex_c2_20,Climate-related risks and opportunities,0.003236,2,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0001,0,62,gri_305_1,Direct (Scope 1) GHG emissions,0.001855,3,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-1,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0001,0,62,gri_305_2,Energy indirect (Scope 2) GHG emissions,0.001725,4,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0001,0,62,hkex_c2_27,Risk management,0.001496,5,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,gri_201_2,Financial implications and other risks and opportunities due to climate change,0.066009,1,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,hkex_c2_27,Risk management,0.060535,2,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,hkex_c2_20,Climate-related risks and opportunities,0.059008,3,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,gri_3_3,Management of material topics,0.040266,4,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,Disclosure 3-3,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,ifrs_s2_risk_management,Risk management,0.028371,5,tfidf_sparse_vector_baseline,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,Risk management,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,gri_201_2,Financial implications and other risks and opportunities due to climate change,0.046128,1,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,hkex_c2_20,Climate-related risks and opportunities,0.041146,2,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,hkex_c2_26,Climate resilience,0.016048,3,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 26,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,gri_305_1,Direct (Scope 1) GHG emissions,0.011681,4,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-1,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,hkex_c2_27,Risk management,0.010175,5,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,gri_201_2,Financial implications and other risks and opportunities due to climate change,0.037154,1,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,hkex_c2_20,Climate-related risks and opportunities,0.034682,2,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,hkex_c2_27,Risk management,0.007794,3,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,gri_3_3,Management of material topics,0.006995,4,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,Disclosure 3-3,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,gri_305_1,Direct (Scope 1) GHG emissions,0.003920,5,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-1,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0005,4,66,gri_201_2,Financial implications and other risks and opportunities due to climate change,0.013712,1,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0005,4,66,hkex_c2_20,Climate-related risks and opportunities,0.012627,2,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0005,4,66,hkex_c2_27,Risk management,0.002299,3,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0005,4,66,gri_3_3,Management of material topics,0.002135,4,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,Disclosure 3-3,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0005,4,66,gri_305_1,Direct (Scope 1) GHG emissions,0.001353,5,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-1,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0006,5,67,gri_201_2,Financial implications and other risks and opportunities due to climate change,0.005672,1,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0006,5,67,hkex_c2_20,Climate-related risks and opportunities,0.005485,2,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0006,5,67,hkex_c2_27,Risk management,0.003005,3,tfidf_sparse_vector_baseline,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0006,5,67,gri_3_3,Management of material topics,0.002697,4,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,Disclosure 3-3,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0006,5,67,gri_305_1,Direct (Scope 1) GHG emissions,0.000529,5,tfidf_sparse_vector_baseline,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-1,candidate_only,review_required
