concept_id,alias,language,source_type,source_url,source_locator,confidence,notes
scope_1_emissions,範圍一,zh-Hant,company_official_report,,Official report printed page 108 (source PDF retained outside this review package),medium,Exact term in the official company report; candidate signal only.
scope_2_emissions,範圍二,zh-Hant,company_official_report,,Official report printed page 108 (source PDF retained outside this review package),medium,Exact term in the official company report; candidate signal only.
scope_3_emissions,範圍三,zh-Hant,company_official_report,,Official report printed page 108 (source PDF retained outside this review package),medium,Exact term in the official company report; candidate signal only.
climate_risks_opportunities,氣候變化風險,zh-Hant,company_official_report,,data/fixtures/yuexiu_2024_pages_62_67/document_ir.json; printed pages 62-67,medium,Official report wording; candidate signal only.
climate_risks_opportunities,氣候風險,zh-Hant,company_official_report,,data/fixtures/yuexiu_2024_pages_62_67/document_ir.json; printed pages 62-67,medium,Official report wording; candidate signal only.
climate_risks_opportunities,物理風險,zh-Hant,company_official_report,,data/fixtures/yuexiu_2024_pages_62_67/document_ir.json; printed pages 64-67,medium,Official report wording; candidate signal only.
climate_risks_opportunities,轉型風險,zh-Hant,company_official_report,,data/fixtures/yuexiu_2024_pages_62_67/document_ir.json; printed pages 65-67,medium,Official report wording; candidate signal only.
climate_resilience,情境分析,zh-Hant,company_official_report,,data/fixtures/yuexiu_2024_pages_62_67/document_ir.json; printed page 64,medium,Official report wording; candidate signal only.
climate_risk_management,風險管理,zh-Hant,company_official_report,,data/fixtures/yuexiu_2024_pages_62_67/document_ir.json; printed pages 62-64,medium,Official report wording; candidate signal only.
climate_strategy_decision,應對措施,zh-Hant,company_official_report,,data/fixtures/yuexiu_2024_pages_62_67/document_ir.json; printed pages 62-67,low,Generic term; candidate signal only.
