concept_id,canonical_name,source_basis,source_clause_ids,notes
energy_consumption,energy consumption,GRI official title,GRI 302-1;GRI 302-2,Internal retrieval label; not a standard requirement.
water_withdrawal,water withdrawal,GRI official title,GRI 303-3,Internal retrieval label; not a standard requirement.
water_discharge,water discharge,GRI official title,GRI 303-4,Internal retrieval label; not a standard requirement.
water_consumption,water consumption,GRI official title,GRI 303-5,Internal retrieval label; not a standard requirement.
scope_1_emissions,Scope 1 emissions,GRI official title,GRI 305-1,Internal retrieval label; not a standard requirement.
scope_2_emissions,Scope 2 emissions,GRI official title,GRI 305-2,Internal retrieval label; not a standard requirement.
scope_3_emissions,Scope 3 emissions,GRI official title,GRI 305-3,Internal retrieval label; not a standard requirement.
waste_generated,waste generated,GRI official title,GRI 306-3,Internal retrieval label; not a standard requirement.
waste_diverted_from_disposal,waste diverted from disposal,GRI official title,GRI 306-4,Internal retrieval label; not a standard requirement.
waste_directed_to_disposal,waste directed to disposal,GRI official title,GRI 306-5,Internal retrieval label; not a standard requirement.
work_related_injuries,work-related injuries,GRI official title,GRI 403-9,Internal retrieval label; not a standard requirement.
training_hours,training hours,GRI official title,GRI 404-1,Internal retrieval label; not a standard requirement.
diversity,diversity of governance bodies and employees,GRI official title,GRI 405-1,Internal retrieval label; not a standard requirement.
