id,framework,standard_id,clause_id,parent_clause_id,title,text_summary,topic,subtopic,disclosure_type,metric_type,unit_hint,applicability,source_url,source_locator,version,language,status
gri_302_1,GRI,GRI 302,302-1,,Energy consumption within the organization,Not stored; consult the official source at source_locator.,environment,energy,quantitative,energy_consumption,,,https://www.globalreporting.org/publications/documents/english/gri-302-energy-2016/,Disclosure 302-1,2016,en,official_version_cited
gri_302_2,GRI,GRI 302,302-2,,Energy consumption outside of the organization,Not stored; consult the official source at source_locator.,environment,energy,quantitative,energy_consumption,,,https://www.globalreporting.org/publications/documents/english/gri-302-energy-2016/,Disclosure 302-2,2016,en,official_version_cited
gri_302_3,GRI,GRI 302,302-3,,Energy intensity,Not stored; consult the official source at source_locator.,environment,energy,quantitative,energy_intensity,,,https://www.globalreporting.org/publications/documents/english/gri-302-energy-2016/,Disclosure 302-3,2016,en,official_version_cited
gri_302_4,GRI,GRI 302,302-4,,Reduction of energy consumption,Not stored; consult the official source at source_locator.,environment,energy,quantitative,energy_reduction,,,https://www.globalreporting.org/publications/documents/english/gri-302-energy-2016/,Disclosure 302-4,2016,en,official_version_cited
gri_302_5,GRI,GRI 302,302-5,,Reductions in energy requirements of products and services,Not stored; consult the official source at source_locator.,environment,energy,quantitative,energy_reduction,,,https://www.globalreporting.org/publications/documents/english/gri-302-energy-2016/,Disclosure 302-5,2016,en,official_version_cited
gri_303_1,GRI,GRI 303,303-1,,Interactions with water as a shared resource,Not stored; consult the official source at source_locator.,environment,water,qualitative,water_management,,,https://www.globalreporting.org/publications/documents/english/gri-303-water-and-effluents-2018/,Disclosure 303-1,2018,en,official_version_cited
gri_303_2,GRI,GRI 303,303-2,,Management of water discharge-related impacts,Not stored; consult the official source at source_locator.,environment,water,qualitative,water_discharge_management,,,https://www.globalreporting.org/publications/documents/english/gri-303-water-and-effluents-2018/,Disclosure 303-2,2018,en,official_version_cited
gri_303_3,GRI,GRI 303,303-3,,Water withdrawal,Not stored; consult the official source at source_locator.,environment,water,quantitative,water_withdrawal,,,https://www.globalreporting.org/publications/documents/english/gri-303-water-and-effluents-2018/,Disclosure 303-3,2018,en,official_version_cited
gri_303_4,GRI,GRI 303,303-4,,Water discharge,Not stored; consult the official source at source_locator.,environment,water,quantitative,water_discharge,,,https://www.globalreporting.org/publications/documents/english/gri-303-water-and-effluents-2018/,Disclosure 303-4,2018,en,official_version_cited
gri_303_5,GRI,GRI 303,303-5,,Water consumption,Not stored; consult the official source at source_locator.,environment,water,quantitative,water_consumption,,,https://www.globalreporting.org/publications/documents/english/gri-303-water-and-effluents-2018/,Disclosure 303-5,2018,en,official_version_cited
gri_305_1,GRI,GRI 305,305-1,,Direct (Scope 1) GHG emissions,Not stored; consult the official source at source_locator.,climate,emissions,quantitative,scope_1_emissions,,,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-1,2016,en,official_version_cited
gri_305_2,GRI,GRI 305,305-2,,Energy indirect (Scope 2) GHG emissions,Not stored; consult the official source at source_locator.,climate,emissions,quantitative,scope_2_emissions,,,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-2,2016,en,official_version_cited
gri_305_3,GRI,GRI 305,305-3,,Other indirect (Scope 3) GHG emissions,Not stored; consult the official source at source_locator.,climate,emissions,quantitative,scope_3_emissions,,,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-3,2016,en,official_version_cited
gri_305_4,GRI,GRI 305,305-4,,GHG emissions intensity,Not stored; consult the official source at source_locator.,climate,emissions,quantitative,ghg_emissions_intensity,,,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-4,2016,en,official_version_cited
gri_305_5,GRI,GRI 305,305-5,,Reduction of GHG emissions,Not stored; consult the official source at source_locator.,climate,emissions,quantitative,ghg_emissions_reduction,,,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-5,2016,en,official_version_cited
gri_305_6,GRI,GRI 305,305-6,,Emissions of ozone-depleting substances,Not stored; consult the official source at source_locator.,environment,air_emissions,quantitative,ozone_depleting_substances,,,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-6,2016,en,official_version_cited
gri_305_7,GRI,GRI 305,305-7,,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Not stored; consult the official source at source_locator.,environment,air_emissions,quantitative,air_emissions,,,https://www.globalreporting.org/publications/documents/english/gri-305-emissions-2016/,Disclosure 305-7,2016,en,official_version_cited
gri_306_1,GRI,GRI 306,306-1,,Waste generation and significant waste-related impacts,Not stored; consult the official source at source_locator.,environment,waste,qualitative,waste_impact_management,,,https://www.globalreporting.org/publications/documents/english/gri-306-waste-2020/,Disclosure 306-1,2020,en,official_version_cited
gri_306_2,GRI,GRI 306,306-2,,Management of significant waste-related impacts,Not stored; consult the official source at source_locator.,environment,waste,qualitative,waste_impact_management,,,https://www.globalreporting.org/publications/documents/english/gri-306-waste-2020/,Disclosure 306-2,2020,en,official_version_cited
gri_306_3,GRI,GRI 306,306-3,,Waste generated,Not stored; consult the official source at source_locator.,environment,waste,quantitative,waste_generated,,,https://www.globalreporting.org/publications/documents/english/gri-306-waste-2020/,Disclosure 306-3,2020,en,official_version_cited
gri_306_4,GRI,GRI 306,306-4,,Waste diverted from disposal,Not stored; consult the official source at source_locator.,environment,waste,quantitative,waste_diverted_from_disposal,,,https://www.globalreporting.org/publications/documents/english/gri-306-waste-2020/,Disclosure 306-4,2020,en,official_version_cited
gri_306_5,GRI,GRI 306,306-5,,Waste directed to disposal,Not stored; consult the official source at source_locator.,environment,waste,quantitative,waste_directed_to_disposal,,,https://www.globalreporting.org/publications/documents/english/gri-306-waste-2020/,Disclosure 306-5,2020,en,official_version_cited
gri_403_1,GRI,GRI 403,403-1,,Occupational health and safety management system,Not stored; consult the official source at source_locator.,social,health_safety,qualitative,ohs_management_system,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-1,2018,en,official_version_cited
gri_403_2,GRI,GRI 403,403-2,,Hazard identification risk assessment and incident investigation,Not stored; consult the official source at source_locator.,social,health_safety,qualitative,ohs_risk_management,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-2,2018,en,official_version_cited
gri_403_3,GRI,GRI 403,403-3,,Occupational health services,Not stored; consult the official source at source_locator.,social,health_safety,qualitative,occupational_health_services,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-3,2018,en,official_version_cited
gri_403_4,GRI,GRI 403,403-4,,Worker participation consultation and communication on occupational health and safety,Not stored; consult the official source at source_locator.,social,health_safety,qualitative,ohs_worker_participation,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-4,2018,en,official_version_cited
gri_403_5,GRI,GRI 403,403-5,,Worker training on occupational health and safety,Not stored; consult the official source at source_locator.,social,health_safety,qualitative,ohs_training,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-5,2018,en,official_version_cited
gri_403_6,GRI,GRI 403,403-6,,Promotion of worker health,Not stored; consult the official source at source_locator.,social,health_safety,qualitative,worker_health_promotion,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-6,2018,en,official_version_cited
gri_403_7,GRI,GRI 403,403-7,,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,Not stored; consult the official source at source_locator.,social,health_safety,qualitative,ohs_business_relationship_impacts,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-7,2018,en,official_version_cited
gri_403_8,GRI,GRI 403,403-8,,Workers covered by an occupational health and safety management system,Not stored; consult the official source at source_locator.,social,health_safety,quantitative,ohs_coverage,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-8,2018,en,official_version_cited
gri_403_9,GRI,GRI 403,403-9,,Work-related injuries,Not stored; consult the official source at source_locator.,social,health_safety,quantitative,work_related_injuries,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-9,2018,en,official_version_cited
gri_403_10,GRI,GRI 403,403-10,,Work-related ill health,Not stored; consult the official source at source_locator.,social,health_safety,quantitative,work_related_ill_health,,,https://www.globalreporting.org/publications/documents/english/gri-403-occupational-health-and-safety-2018/,Disclosure 403-10,2018,en,official_version_cited
gri_404_1,GRI,GRI 404,404-1,,Average hours of training per year per employee,Not stored; consult the official source at source_locator.,social,training,quantitative,training_hours,,,https://www.globalreporting.org/publications/documents/english/gri-404-training-and-education-2016/,Disclosure 404-1,2016,en,official_version_cited
gri_404_2,GRI,GRI 404,404-2,,Programs for upgrading employee skills and transition assistance programs,Not stored; consult the official source at source_locator.,social,training,qualitative,employee_skill_development,,,https://www.globalreporting.org/publications/documents/english/gri-404-training-and-education-2016/,Disclosure 404-2,2016,en,official_version_cited
gri_404_3,GRI,GRI 404,404-3,,Percentage of employees receiving regular performance and career development reviews,Not stored; consult the official source at source_locator.,social,training,quantitative,career_development_reviews,,,https://www.globalreporting.org/publications/documents/english/gri-404-training-and-education-2016/,Disclosure 404-3,2016,en,official_version_cited
gri_405_1,GRI,GRI 405,405-1,,Diversity of governance bodies and employees,Not stored; consult the official source at source_locator.,social,diversity,quantitative,diversity_governance_employees,,,https://www.globalreporting.org/publications/documents/english/gri-405-diversity-and-equal-opportunity-2016/,Disclosure 405-1,2016,en,official_version_cited
gri_405_2,GRI,GRI 405,405-2,,Ratio of basic salary and remuneration of women to men,Not stored; consult the official source at source_locator.,social,diversity,quantitative,gender_pay_ratio,,,https://www.globalreporting.org/publications/documents/english/gri-405-diversity-and-equal-opportunity-2016/,Disclosure 405-2,2016,en,official_version_cited
