printed_page_label,candidate_clause_id,candidate_title,lexical_score,lexical_rank,vector_score,vector_rank,retrieved_by,agreement,review_state,evidence_locator,review_decision,review_notes
62,gri_201_2,Financial implications and other risks and opportunities due to climate change,,,0.004258,1,tfidf_vector,single_method,review_required,,,
62,gri_305_1,Direct (Scope 1) GHG emissions,,,0.001855,3,tfidf_vector,single_method,review_required,,,
62,gri_305_2,Energy indirect (Scope 2) GHG emissions,,,0.001725,4,tfidf_vector,single_method,review_required,,,
62,hkex_c2_20,Climate-related risks and opportunities,,,0.003236,2,tfidf_vector,single_method,review_required,,,
62,hkex_c2_27,Risk management,,,0.001496,5,tfidf_vector,single_method,review_required,,,
63,gri_201_2,Financial implications and other risks and opportunities due to climate change,6.0,2,0.066009,1,lexical+tfidf_vector,both_methods,review_required,,,
63,gri_3_3,Management of material topics,3.0,5,0.040266,4,lexical+tfidf_vector,both_methods,review_required,,,
63,hkex_c2_20,Climate-related risks and opportunities,6.0,3,0.059008,3,lexical+tfidf_vector,both_methods,review_required,,,
63,hkex_c2_27,Risk management,8.0,1,0.060535,2,lexical+tfidf_vector,both_methods,review_required,,,
63,ifrs_s2_risk_management,Risk management,5.0,4,0.028371,5,lexical+tfidf_vector,both_methods,review_required,,,
64,gri_201_2,Financial implications and other risks and opportunities due to climate change,9.0,1,0.046128,1,lexical+tfidf_vector,both_methods,review_required,,,
64,gri_305_1,Direct (Scope 1) GHG emissions,,,0.011681,4,tfidf_vector,single_method,review_required,,,
64,gri_3_3,Management of material topics,3.0,3,,,lexical,single_method,review_required,,,
64,hkex_c2_20,Climate-related risks and opportunities,9.0,2,0.041146,2,lexical+tfidf_vector,both_methods,review_required,,,
64,hkex_c2_22,Strategy and decision-making,3.0,4,,,lexical,single_method,review_required,,,
64,hkex_c2_26,Climate resilience,3.0,5,0.016048,3,lexical+tfidf_vector,both_methods,review_required,,,
64,hkex_c2_27,Risk management,,,0.010175,5,tfidf_vector,single_method,review_required,,,
65,gri_201_2,Financial implications and other risks and opportunities due to climate change,9.0,1,0.037154,1,lexical+tfidf_vector,both_methods,review_required,,,
65,gri_305_1,Direct (Scope 1) GHG emissions,,,0.003920,5,tfidf_vector,single_method,review_required,,,
65,gri_3_3,Management of material topics,3.0,3,0.006995,4,lexical+tfidf_vector,both_methods,review_required,,,
65,hkex_c2_20,Climate-related risks and opportunities,9.0,2,0.034682,2,lexical+tfidf_vector,both_methods,review_required,,,
65,hkex_c2_22,Strategy and decision-making,3.0,4,,,lexical,single_method,review_required,,,
65,hkex_c2_27,Risk management,3.0,5,0.007794,3,lexical+tfidf_vector,both_methods,review_required,,,
66,gri_201_2,Financial implications and other risks and opportunities due to climate change,3.0,1,0.013712,1,lexical+tfidf_vector,both_methods,review_required,,,
66,gri_305_1,Direct (Scope 1) GHG emissions,,,0.001353,5,tfidf_vector,single_method,review_required,,,
66,gri_3_3,Management of material topics,,,0.002135,4,tfidf_vector,single_method,review_required,,,
66,hkex_c2_20,Climate-related risks and opportunities,3.0,2,0.012627,2,lexical+tfidf_vector,both_methods,review_required,,,
66,hkex_c2_27,Risk management,,,0.002299,3,tfidf_vector,single_method,review_required,,,
67,gri_201_2,Financial implications and other risks and opportunities due to climate change,,,0.005672,1,tfidf_vector,single_method,review_required,,,
67,gri_305_1,Direct (Scope 1) GHG emissions,,,0.000529,5,tfidf_vector,single_method,review_required,,,
67,gri_3_3,Management of material topics,,,0.002697,4,tfidf_vector,single_method,review_required,,,
67,hkex_c2_20,Climate-related risks and opportunities,,,0.005485,2,tfidf_vector,single_method,review_required,,,
67,hkex_c2_27,Risk management,,,0.003005,3,tfidf_vector,single_method,review_required,,,
